date,assets,market,positions,max_assets,dd
2023-06-09,375820.09989264066,BULL,7,1030554.0263425,0.6353222729850957
2023-06-12,373608.67612804065,BULL,9,1030554.0263425,0.6374681321133634
2023-06-13,378239.0813424807,BULL,8,1030554.0263425,0.6329750098741794
2023-06-14,377384.2506336807,BULL,8,1030554.0263425,0.6338044964289347
2023-06-15,379108.15001288074,BULL,8,1030554.0263425,0.632131707487128
2023-06-16,380684.0049418807,BULL,8,1030554.0263425,0.6306025737505954
2023-06-19,384175.05215708073,BULL,9,1030554.0263425,0.6272150296471678
2023-06-20,383370.6373562807,BULL,9,1030554.0263425,0.6279955950326187
2023-06-21,379431.1360026807,BULL,9,1030554.0263425,0.6318182974362777
2023-06-26,371627.1481542807,BULL,9,1030554.0263425,0.6393909114370177
2023-06-27,366190.8860253238,BULL,7,1030554.0263425,0.6446659984193571
2023-06-28,366968.3541861238,BULL,6,1030554.0263425,0.643911580755725
2023-06-29,360246.30722872383,BULL,9,1030554.0263425,0.6504343314175772
2023-06-30,357104.80814072385,BULL,7,1030554.0263425,0.6534826908511425
2023-07-03,359331.23652752384,BULL,8,1030554.0263425,0.6513222719600518
2023-07-04,359077.93464352377,BULL,9,1030554.0263425,0.6515680639103283
2023-07-05,360459.93464352377,BULL,9,1030554.0263425,0.6502270376616562
2023-07-06,358694.93464352377,BULL,9,1030554.0263425,0.6519397086666535
2023-07-07,359597.5057795238,BULL,8,1030554.0263425,0.6510638971003222
2023-07-10,358171.7553511238,BULL,10,1030554.0263425,0.6524473766578763
2023-07-11,359379.9499665238,BULL,10,1030554.0263425,0.6512750027846813
2023-07-12,365351.2354353238,BULL,9,1030554.0263425,0.6454807549178397
2023-07-13,360352.45676812384,BULL,10,1030554.0263425,0.6503313290162602
2023-07-14,361599.10443212383,BULL,9,1030554.0263425,0.6491216421564414
2023-07-17,361052.9903823238,BULL,9,1030554.0263425,0.6496515649318035
2023-07-18,361289.65810352383,BULL,10,1030554.0263425,0.6494219139720766
2023-07-19,360851.65810352383,BULL,10,1030554.0263425,0.6498469280798324
2023-07-20,355058.4920907238,BULL,8,1030554.0263425,0.655468337404058
2023-07-21,351174.7283331238,BULL,7,1030554.0263425,0.6592369547286477
2023-07-24,351150.3503859238,BULL,9,1030554.0263425,0.6592606099146706
2023-07-25,351372.44011832384,BULL,10,1030554.0263425,0.6590451047332605
2023-07-26,346734.76410172385,BULL,10,1030554.0263425,0.663545282208729
2023-07-27,343426.46886972385,BULL,9,1030554.0263425,0.6667554925882289
2023-07-28,343180.5660323238,BULL,8,1030554.0263425,0.6669941048599919
2023-07-31,348826.94021012384,BULL,10,1030554.0263425,0.6615151352635706
2023-08-01,348659.8101661238,BULL,9,1030554.0263425,0.6616773102099858
2023-08-02,343516.5725679238,BULL,10,1030554.0263425,0.6666680602985121
2023-08-03,340606.363240337,BULL,9,1030554.0263425,0.669491987286518
2023-08-04,344646.441051737,BULL,10,1030554.0263425,0.6655716903315506
