ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20210601,122.902,122.92,123.146,122.902,123.071,0.169,0.1375,7670.0,94387.823
511010.SH,20210531,123.132,123.14,123.14,122.78,122.902,-0.23,-0.1868,10437.0,128273.561
511010.SH,20210528,123.134,123.14,123.178,123.008,123.132,-0.002,-0.0016,6082.21,74840.093
511010.SH,20210527,123.225,123.226,123.227,123.13,123.134,-0.091,-0.0738,5576.0,68675.987
511010.SH,20210526,123.167,123.165,123.266,123.05,123.225,0.058,0.0471,6206.0,76457.777
511010.SH,20210525,123.377,123.379,123.379,123.078,123.167,-0.21,-0.1702,7563.0,93247.015
511010.SH,20210524,123.351,123.301,123.517,123.153,123.377,0.026,0.0211,7438.0,91753.132
511010.SH,20210521,123.229,123.241,123.378,123.113,123.351,0.122,0.099,6402.0,78944.49
511010.SH,20210520,123.059,123.001,123.28,122.881,123.229,0.17,0.1381,6897.21,84957.907
511010.SH,20210519,122.856,122.856,123.088,122.807,123.059,0.203,0.1652,5415.0,66568.928
511010.SH,20210518,122.887,122.96,122.976,122.731,122.856,-0.031,-0.0252,4473.0,54970.491
511010.SH,20210517,122.739,122.738,122.952,122.699,122.887,0.148,0.1206,8042.0,98822.106
511010.SH,20210514,122.726,122.702,122.788,122.7,122.739,0.013,0.0106,5702.0,69998.463
511010.SH,20210513,122.9,122.9,122.9,122.663,122.726,-0.174,-0.1416,6298.0,77291.108
511010.SH,20210512,122.892,122.896,122.937,122.813,122.9,0.008,0.0065,2821.0,34666.258
511010.SH,20210511,122.65,122.66,123.1,122.66,122.892,0.242,0.1973,7017.0,86166.186
511010.SH,20210510,122.587,122.591,122.697,122.582,122.65,0.063,0.0514,5451.0,66845.885
511010.SH,20210507,122.633,122.627,122.699,122.465,122.587,-0.046,-0.0375,3714.0,45527.714
511010.SH,20210506,122.6,122.6,122.849,122.427,122.633,0.033,0.0269,4231.0,51895.348
511010.SH,20210430,122.452,122.46,122.625,122.403,122.6,0.148,0.1209,6363.0,77950.433
511010.SH,20210429,122.398,122.398,122.568,122.316,122.452,0.054,0.0441,7717.0,94480.488
511010.SH,20210428,122.483,122.426,122.483,122.284,122.398,-0.085,-0.0694,3670.0,44894.931
511010.SH,20210427,122.581,122.537,122.67,122.452,122.483,-0.098,-0.0799,4769.0,58456.339
511010.SH,20210426,122.746,122.756,122.756,122.561,122.581,-0.165,-0.1344,3580.0,43898.918
511010.SH,20210423,122.457,122.48,122.798,122.406,122.746,0.289,0.236,3037.0,37241.556
511010.SH,20210422,122.555,122.555,122.555,122.317,122.457,-0.098,-0.08,4814.0,58949.188
511010.SH,20210421,122.322,122.272,122.556,122.272,122.555,0.233,0.1905,3866.0,47317.396
511010.SH,20210420,122.261,122.265,122.369,122.265,122.322,0.061,0.0499,2864.0,35032.297
511010.SH,20210419,122.339,122.352,122.392,122.208,122.261,-0.078,-0.0638,6721.0,82217.054
