trade_date,nav_satellite_full
2023-08-16,1289196.1275007015
2023-08-17,1291286.8529372832
2023-08-18,1287488.730647752
2023-08-21,1285703.27941611
2023-08-22,1286828.675674293
2023-08-23,1283246.9541719123
2023-08-24,1286276.8374300757
2023-08-25,1280908.3514640222
2023-08-28,1282985.1609910831
2023-08-29,1288019.467878948
2023-08-30,1290764.9687386965
2023-08-31,1289937.848474496
2023-09-01,1290248.9196778808
2023-09-04,1293299.1279807256
2023-09-05,1291557.1327588833
2023-09-06,1290554.1260009583
2023-09-07,1284033.452658983
2023-09-08,1284543.0497238222
2023-09-11,1286521.72912156
2023-09-12,1286844.4196604092
2023-09-13,1284963.3836235192
2023-09-14,1286364.6448994176
2023-09-15,1284302.8762898433
2023-09-18,1282997.745754749
2023-09-19,1284211.3301054218
2023-09-20,1284874.7059743176
2023-09-21,1280606.13401143
2023-09-22,1285090.2895447456
2023-09-25,1284521.9625046188
2023-09-26,1281914.5307046047
2023-09-27,1278473.0062427372
2023-09-28,1280058.487251095
2023-10-09,1278900.7124388318
2023-10-10,1275386.7489567068
2023-10-11,1274558.0587586912
2023-10-12,1278773.7380289414
2023-10-13,1276943.9530978617
2023-10-16,1274425.6254322173
2023-10-17,1275165.771086486
2023-10-18,1271460.8383687383
2023-10-19,1264290.3205411583
2023-10-20,1263243.1921253884
2023-10-23,1255610.806065897
2023-10-24,1261600.9807960584
2023-10-25,1263366.4177355727
2023-10-26,1264468.7001310613
2023-10-27,1270387.9362625733
2023-10-30,1273397.4326062482
2023-10-31,1272548.5338413913
2023-11-01,1272246.8937828108
2023-11-02,1272325.402791918
2023-11-03,1276416.66372675
2023-11-06,1281271.329540178
2023-11-07,1280960.603416208
2023-11-08,1280877.9475989402
2023-11-09,1279881.8581390046
2023-11-10,1277987.0991228032
2023-11-13,1280111.2851936554
2023-11-14,1281202.1841523836
2023-11-15,1285243.12821333
2023-11-16,1281334.8453451525
2023-11-17,1282587.395795558
2023-11-20,1282141.8713097346
2023-11-21,1283188.1528416194
2023-11-22,1281193.0881725925
2023-11-23,1281255.2179438283
2023-11-24,1283234.2183473264
2023-11-27,1285775.2149240065
2023-11-28,1287088.3180079113
2023-11-29,1284262.588156049
2023-11-30,1284739.6429098353
2023-12-01,1285761.6779509299
2023-12-04,1285353.646763741
2023-12-05,1277777.394886048
2023-12-06,1278958.2858979227
2023-12-07,1278807.5130119508
2023-12-08,1280488.8348318753
2023-12-11,1281890.157278849
2023-12-12,1283105.632527455
2023-12-13,1280810.931160069
2023-12-14,1282494.0983543429
