trade_date,nav_baseline
2022-08-30,1312591.0685280394
2022-08-31,1308110.6634289562
2022-09-01,1306004.1990816293
2022-09-02,1307479.731592027
2022-09-05,1310927.4361862056
2022-09-06,1315220.7970266866
2022-09-07,1315455.5421791421
2022-09-08,1314369.0792381607
2022-09-09,1316419.7886578303
2022-09-13,1316319.51191393
2022-09-14,1310582.7152508514
2022-09-15,1306363.499165703
2022-09-16,1297834.5720545775
2022-09-19,1297307.2113141322
2022-09-20,1299913.7482181108
2022-09-21,1299838.0801349448
2022-09-22,1297591.9087060755
2022-09-23,1294184.0611651277
2022-09-26,1288623.4591442687
2022-09-27,1294132.9938201744
2022-09-28,1287381.6622276553
2022-09-29,1286142.7502215055
2022-09-30,1284049.2135434276
2022-10-10,1281610.292782275
2022-10-11,1284058.8589556203
2022-10-12,1290781.7733008852
2022-10-13,1290585.9052491097
2022-10-14,1299449.6862612832
2022-10-17,1297457.1600720733
2022-10-18,1298520.8636128502
2022-10-19,1295466.1219518716
2022-10-20,1291439.7417053403
2022-10-21,1291293.2997361878
2022-10-24,1286005.8621185138
2022-10-25,1284425.2501391403
2022-10-26,1287124.85125715
2022-10-27,1286382.0374747296
2022-10-28,1278823.9932218133
2022-10-31,1277129.6729927256
2022-11-01,1283087.2306641378
2022-11-02,1286284.1130629226
2022-11-03,1284711.2444600477
2022-11-04,1291554.0025012293
2022-11-07,1292962.4916648094
2022-11-08,1292210.7452394366
2022-11-09,1295587.9201922875
2022-11-10,1292284.7792469051
2022-11-11,1298770.0469067146
2022-11-14,1293561.5188941234
2022-11-15,1297276.7195856925
2022-11-16,1293980.2386070054
2022-11-17,1292825.462532609
2022-11-18,1290832.3108572701
2022-11-21,1290716.8510556335
2022-11-22,1290235.4144934486
2022-11-23,1292430.7942810298
2022-11-24,1294657.2142345498
2022-11-25,1294999.7490672767
2022-11-28,1291307.5185551387
2022-11-29,1296378.6775292049
2022-11-30,1296709.5474355433
2022-12-01,1300191.7490854557
2022-12-02,1300048.6997042398
2022-12-05,1301707.5622731664
2022-12-06,1299280.7997189448
2022-12-07,1297591.682693833
2022-12-08,1298531.4073723955
2022-12-09,1299061.8967719807
2022-12-12,1295745.2300600118
2022-12-13,1292901.2829148627
2022-12-14,1295047.058087528
2022-12-15,1293903.8493631126
2022-12-16,1291756.9732471916
2022-12-19,1288687.748629986
2022-12-20,1284605.3705910186
2022-12-21,1285416.6918274504
2022-12-22,1284005.1156630141
2022-12-23,1281516.2547501614
2022-12-26,1284361.2555097244
2022-12-27,1289042.2995566654
2022-12-28,1288564.822980827
2022-12-29,1287332.7849528724
2022-12-30,1290605.9580577805
2023-01-03,1292977.1154269546
2023-01-04,1295409.1123105579
2023-01-05,1299567.5134445569
2023-01-06,1298119.7968500596
2023-01-09,1301511.1780137194
2023-01-10,1300900.9970721374
2023-01-11,1299767.8828472935
2023-01-12,1300606.8691749687
2023-01-13,1304121.0377768287
2023-01-16,1308402.4845349332
2023-01-17,1309880.627828932
2023-01-18,1310132.0336466758
2023-01-19,1312686.2294906052
2023-01-20,1317335.2384842106
2023-01-30,1319712.9799619247
2023-01-31,1316557.125056671
2023-02-01,1321966.4309100893
2023-02-02,1323842.6172417274
2023-02-03,1319775.085155018
2023-02-06,1313590.7703689104
2023-02-07,1314450.9276429547
2023-02-08,1313448.5933888762
2023-02-09,1318394.6417662592
2023-02-10,1315743.883456833
2023-02-13,1319212.462446227
2023-02-14,1320480.9633972533
2023-02-15,1318369.745872029
2023-02-16,1315170.1485622267
2023-02-17,1308271.7719126032
2023-02-20,1316241.705935505
2023-02-21,1317283.6975189762
2023-02-22,1315412.5170649963
2023-02-23,1315380.7227162593
2023-02-24,1313660.5868969087
2023-02-27,1310570.3608276532
2023-02-28,1312956.2001197143
2023-03-01,1316537.0575859123
2023-03-02,1315264.5151442273
2023-03-03,1317625.0418131356
2023-03-06,1320066.753068542
2023-03-07,1316363.1961204833
2023-03-08,1314777.4594309987
2023-03-09,1314370.1637173293
2023-03-10,1310340.7028495832
2023-03-13,1313584.7908529122
2023-03-14,1312749.7999657958
2023-03-15,1315422.3768917124
2023-03-16,1313303.2156925793
2023-03-17,1317285.99247098
2023-03-20,1319880.233112199
2023-03-21,1321417.6540068446
2023-03-22,1322253.5675769774
2023-03-23,1323454.8460235468
2023-03-24,1323293.7629628787
2023-03-27,1322870.8356658833
2023-03-28,1321307.3985390346
2023-03-29,1321028.1367806667
2023-03-30,1323169.7746015533
2023-03-31,1325704.180260739
2023-04-03,1328318.1653849895
2023-04-04,1329565.022798846
2023-04-06,1329719.9246130902
2023-04-07,1331820.43593175
2023-04-10,1330810.041967937
2023-04-11,1331862.9318241267
2023-04-12,1333248.180468827
2023-04-13,1331785.5226633823
2023-04-14,1333092.7114946488
2023-04-17,1334655.9787477874
2023-04-18,1335060.734575462
2023-04-19,1334354.703096587
2023-04-20,1333554.7830481892
2023-04-21,1329402.0445377668
2023-04-24,1327406.9725774806
2023-04-25,1326787.0134000059
2023-04-26,1328080.9165292124
2023-04-27,1330706.777467428
2023-04-28,1333581.5352885216
2023-05-04,1336286.1639473054
2023-05-05,1336679.088061155
2023-05-08,1339005.234143771
2023-05-09,1337034.7263730278
2023-05-10,1337006.2216827306
2023-05-11,1338833.1122582399
2023-05-12,1334871.2802872518
2023-05-15,1337984.3890597776
