ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20181031,7162.0396,7110.8042,7199.5522,7084.5208,7104.9634,57.0762,0.8033,12929957.06,25315339.458
H30269.CSI,20181030,7104.9634,7057.5973,7161.0881,6994.9069,7053.7863,51.1771,0.7255,13697609.78,34926216.17
H30269.CSI,20181029,7053.7863,7232.4618,7236.418,7026.6152,7244.4086,-190.6223,-2.6313,13242623.66,26195244.442
H30269.CSI,20181026,7244.4086,7255.6631,7339.2189,7206.3352,7233.4736,10.935,0.1512,12044342.53,22337909.719
H30269.CSI,20181025,7233.4736,7059.105,7237.5571,7035.1791,7188.6381,44.8355,0.6237,11954990.84,23672201.392
H30269.CSI,20181024,7188.6381,7160.4428,7293.7743,7150.1843,7181.1301,7.508,0.1046,11647603.92,24291464.741
H30269.CSI,20181023,7181.1301,7349.5812,7349.5812,7146.9946,7358.7592,-177.6291,-2.4138,12434860.56,30676990.49
H30269.CSI,20181022,7358.7592,7135.0763,7414.8345,7134.8776,7087.3521,271.4071,3.8295,17960681.4,36747631.908
H30269.CSI,20181019,7087.3521,6844.3142,7089.672,6814.2666,6882.7891,204.563,2.9721,13164732.12,27811166.969
H30269.CSI,20181018,6882.7891,6977.9693,6977.9693,6882.7891,7002.3175,-119.5284,-1.707,9800379.16,17815135.142
H30269.CSI,20181017,7002.3175,7028.991,7048.5398,6896.4736,6953.9287,48.3888,0.6958,10323225.05,19288683.111
H30269.CSI,20181016,6953.9287,7045.2854,7095.5609,6933.7413,7040.2526,-86.3239,-1.2261,9226040.57,15991109.763
H30269.CSI,20181015,7040.2526,7182.043,7184.3521,7022.7994,7175.7601,-135.5075,-1.8884,8758513.26,16056269.107
H30269.CSI,20181012,7175.7601,7104.6296,7202.9592,7019.5988,7101.5124,74.2477,1.0455,11937427.91,22590811.853
H30269.CSI,20181011,7101.5124,7303.55,7338.0669,7064.4771,7486.6147,-385.1023,-5.1439,15818177.37,30173724.322
H30269.CSI,20181010,7486.6147,7487.8065,7542.1852,7431.5367,7487.8579,-1.2432,-0.0166,8237268.56,18994711.824
H30269.CSI,20181009,7487.8579,7509.3493,7534.2055,7473.588,7517.4633,-29.6054,-0.3938,9568473.21,17243514.56
H30269.CSI,20181008,7517.4633,7652.8356,7659.6058,7501.1112,7806.9833,-289.52,-3.7085,15985365.55,31829653.952
H30269.CSI,20180928,7806.9833,7724.5407,7807.0674,7722.5797,7706.1653,100.818,1.3083,11746729.23,22675368.072
H30269.CSI,20180927,7706.1653,7750.4513,7750.4513,7689.4475,7745.6789,-39.5136,-0.5101,9492120.54,18495149.423
H30269.CSI,20180926,7745.6789,7681.4832,7818.4186,7681.4832,7672.637,73.0419,0.952,14933556.79,30329227.243
H30269.CSI,20180925,7672.637,7664.279,7699.3223,7647.6732,7737.389,-64.752,-0.8369,10573493.06,19228038.308
H30269.CSI,20180921,7737.389,7538.7288,7737.389,7530.8714,7511.4666,225.9224,3.0077,15467215.44,27672296.153
H30269.CSI,20180920,7511.4666,7534.0678,7553.1523,7496.8608,7537.9876,-26.521,-0.3518,8623316.17,14210659.381
H30269.CSI,20180919,7537.9876,7431.7609,7573.2194,7417.7533,7444.3739,93.6137,1.2575,13584616.88,25608049.758
H30269.CSI,20180918,7444.3739,7308.9216,7445.5445,7307.0167,7336.2353,108.1386,1.474,9970098.07,17218273.944
H30269.CSI,20180917,7336.2353,7365.3064,7365.966,7319.5012,7384.4382,-48.2029,-0.6528,6171842.88,10732548.233
H30269.CSI,20180914,7384.4382,7380.0842,7410.5595,7358.1487,7366.6501,17.7881,0.2415,6862137.1,14314115.903
H30269.CSI,20180913,7366.6501,7339.3713,7369.3541,7290.2073,7284.4851,82.165,1.1279,9230217.43,15995091.166
H30269.CSI,20180912,7284.4851,7279.1636,7322.5627,7243.3329,7298.7388,-14.2537,-0.1953,7163262.2,12845781.903
H30269.CSI,20180911,7298.7388,7311.6181,7335.2065,7268.4704,7312.0829,-13.3441,-0.1825,8328231.25,12549353.257
H30269.CSI,20180910,7312.0829,7372.1198,7386.8058,7306.0418,7362.0504,-49.9675,-0.6787,7625247.4,12240927.113
H30269.CSI,20180907,7362.0504,7347.483,7436.5404,7312.731,7335.8721,26.1783,0.3569,7460163.95,13953139.179
H30269.CSI,20180906,7335.8721,7376.0613,7424.0267,7323.4492,7393.6552,-57.7831,-0.7815,7612300.96,14840040.25
H30269.CSI,20180905,7393.6552,7509.0792,7515.2886,7392.1701,7529.7375,-136.0823,-1.8073,8353154.19,15203792.276
H30269.CSI,20180904,7529.7375,7456.6549,7544.1428,7433.5962,7452.1814,77.5561,1.0407,8823101.48,15628937.199
H30269.CSI,20180903,7452.1814,7440.5813,7460.6971,7394.0885,7462.151,-9.9696,-0.1336,8565307.41,13988331.858
H30269.CSI,20180831,7462.151,7470.8551,7513.5997,7424.3468,7478.4316,-16.2806,-0.2177,10722377.04,19606611.406
H30269.CSI,20180830,7478.4316,7519.5098,7556.0371,7477.58,7517.4408,-39.0092,-0.5189,7014711.07,13530091.96
H30269.CSI,20180829,7517.4408,7539.5416,7555.0632,7501.092,7550.6684,-33.2276,-0.4401,7495728.57,13109212.942
H30269.CSI,20180828,7550.6684,7566.7762,7589.9815,7530.2258,7563.9176,-13.2492,-0.1752,8926169.61,16581928.056
H30269.CSI,20180827,7563.9176,7429.4556,7563.9176,7428.2926,7412.458,151.4596,2.0433,11664041.52,21529969.788
H30269.CSI,20180824,7412.458,7378.671,7453.7447,7344.6854,7392.1518,20.3062,0.2747,7998394.83,14588869.324
H30269.CSI,20180823,7392.1518,7383.8436,7431.9698,7340.094,7392.8391,-0.6873,-0.0093,7567517.91,15325353.455
H30269.CSI,20180822,7392.8391,7441.196,7441.196,7374.8212,7442.3519,-49.5128,-0.6653,6587797.82,14877767.139
H30269.CSI,20180821,7442.3519,7348.8742,7454.8562,7338.6296,7350.1307,92.2212,1.2547,8307255.48,18234849.922
H30269.CSI,20180820,7350.1307,7292.0871,7350.1307,7238.7739,7279.8235,70.3072,0.9658,8318964.26,16391569.056
H30269.CSI,20180817,7279.8235,7422.6798,7435.8775,7275.1046,7368.7304,-88.9069,-1.2065,7172432.74,14096683.992
H30269.CSI,20180816,7368.7304,7349.7276,7436.6952,7298.9888,7420.3876,-51.6572,-0.6962,7993042.51,16755113.298
H30269.CSI,20180815,7420.3876,7561.3512,7563.1837,7410.1651,7566.7567,-146.3691,-1.9344,7853689.2,15286578.44
H30269.CSI,20180814,7566.7567,7577.6735,7591.024,7529.111,7588.7695,-22.0128,-0.2901,7230287.5,12889891.65
H30269.CSI,20180813,7588.7695,7548.1961,7607.177,7477.0975,7620.0581,-31.2886,-0.4106,8980090.46,16830237.64
H30269.CSI,20180810,7620.0581,7613.3137,7669.6883,7574.1058,7613.8524,6.2057,0.0815,8890078.38,15376310.672
H30269.CSI,20180809,7613.8524,7435.8236,7634.4955,7431.0987,7463.053,150.7994,2.0206,10544180.59,19437574.058
H30269.CSI,20180808,7463.053,7573.3152,7582.4592,7459.7786,7586.7859,-123.7329,-1.6309,8553075.72,14698402.717
H30269.CSI,20180807,7586.7859,7425.1315,7587.6457,7385.9975,7394.6511,192.1348,2.5983,11273746.8,18744579.617
H30269.CSI,20180806,7394.6511,7464.2514,7513.7818,7363.4627,7458.4603,-63.8092,-0.8555,8679178.56,16032459.44
